-10.0,0.544021
-9.5,0.075151
-9.0,-0.412118
-8.5,-0.798487
-8.0,-0.989358
-7.5,-0.938
-7.0,-0.656987
-6.5,-0.21512
-6.0,0.279416
-5.5,0.70554
-5.0,0.958924
-4.5,0.97753
-4.0,0.756803
-3.5,0.350783
-3.0,-0.14112
-2.5,-0.598472
-2.0,-0.909297
-1.5,-0.997495
-1.0,-0.841471
-0.5,-0.479426
0.0,0.0
0.5,0.479426
1.0,0.841471
1.5,0.997495
2.0,0.909297
2.5,0.598472
3.0,0.14112
3.5,-0.350783
4.0,-0.756802
4.5,-0.97753
5.0,-0.958924
5.5,-0.70554
6.0,-0.279416
6.5,0.21512
7.0,0.656987
7.5,0.938
8.0,0.989358
8.5,0.798487
9.0,0.412118
9.5,-0.075151
10.0,-0.544021
